,dataset,algorithm,time_ms,instance
341,control,DP,0.122488,instancias/control/n_17-i_1.in
342,control,FB,122.241,instancias/control/n_22-i_0.in
343,control,BT,0.403229,instancias/control/n_22-i_0.in
344,control,BT-F,0.282103,instancias/control/n_22-i_0.in
345,control,BT-O-G,11.2528,instancias/control/n_22-i_0.in
346,control,BT-O-C,31.7319,instancias/control/n_22-i_0.in
347,control,DP,0.078907,instancias/control/n_22-i_0.in
348,control,FB,0.008571,instancias/control/n_7-i_2.in
349,control,BT,0.008407,instancias/control/n_7-i_2.in
350,control,BT-F,0.002635,instancias/control/n_7-i_2.in
351,control,BT-O-G,0.014005,instancias/control/n_7-i_2.in
352,control,BT-O-C,0.004124,instancias/control/n_7-i_2.in
353,control,DP,0.017093,instancias/control/n_7-i_2.in
354,control,FB,0.096671,instancias/control/n_11-i_1.in
355,control,BT,0.051551,instancias/control/n_11-i_1.in
356,control,BT-F,0.006495,instancias/control/n_11-i_1.in
357,control,BT-O-G,0.11921,instancias/control/n_11-i_1.in
358,control,BT-O-C,0.028044,instancias/control/n_11-i_1.in
359,control,DP,0.026702,instancias/control/n_11-i_1.in
360,control,FB,0.303872,instancias/control/n_13-i_2.in
361,control,BT,0.055032,instancias/control/n_13-i_2.in
362,control,BT-F,0.015594,instancias/control/n_13-i_2.in
363,control,BT-O-G,0.459637,instancias/control/n_13-i_2.in
364,control,BT-O-C,0.09349,instancias/control/n_13-i_2.in
365,control,DP,0.042523,instancias/control/n_13-i_2.in
366,control,FB,0.00506,instancias/control/n_6-i_0.in
367,control,BT,0.005507,instancias/control/n_6-i_0.in
368,control,BT-F,0.001931,instancias/control/n_6-i_0.in
369,control,BT-O-G,0.008674,instancias/control/n_6-i_0.in
370,control,BT-O-C,0.003019,instancias/control/n_6-i_0.in
371,control,DP,0.014657,instancias/control/n_6-i_0.in
372,control,FB,15660.9,instancias/control/n_29-i_2.in
373,control,BT,12.563,instancias/control/n_29-i_2.in
374,control,BT-F,24.957,instancias/control/n_29-i_2.in
375,control,BT-O-G,26412.4,instancias/control/n_29-i_2.in
376,control,BT-O-C,4165.5,instancias/control/n_29-i_2.in
377,control,DP,0.561709,instancias/control/n_29-i_2.in
378,control,FB,0.349007,instancias/control/n_13-i_0.in
379,control,BT,0.039061,instancias/control/n_13-i_0.in
380,control,BT-F,0.008504,instancias/control/n_13-i_0.in
381,control,BT-O-G,0.09816,instancias/control/n_13-i_0.in
382,control,BT-O-C,0.069796,instancias/control/n_13-i_0.in
383,control,DP,0.019174,instancias/control/n_13-i_0.in
384,control,FB,0.090019,instancias/control/n_11-i_2.in
385,control,BT,0.02911,instancias/control/n_11-i_2.in
386,control,BT-F,0.0049,instancias/control/n_11-i_2.in
387,control,BT-O-G,0.085213,instancias/control/n_11-i_2.in
388,control,BT-O-C,0.018917,instancias/control/n_11-i_2.in
389,control,DP,0.010834,instancias/control/n_11-i_2.in
390,control,FB,991.25,instancias/control/n_25-i_0.in
391,control,BT,7.27012,instancias/control/n_25-i_0.in
392,control,BT-F,3.63635,instancias/control/n_25-i_0.in
393,control,BT-O-G,1840.62,instancias/control/n_25-i_0.in
394,control,BT-O-C,245.405,instancias/control/n_25-i_0.in
395,control,DP,0.232755,instancias/control/n_25-i_0.in
396,control,FB,0.186372,instancias/control/n_12-i_1.in
397,control,BT,0.061424,instancias/control/n_12-i_1.in
398,control,BT-F,0.010612,instancias/control/n_12-i_1.in
399,control,BT-O-G,0.413736,instancias/control/n_12-i_1.in
400,control,BT-O-C,0.065361,instancias/control/n_12-i_1.in
401,control,DP,0.049217,instancias/control/n_12-i_1.in
402,control,FB,31494.7,instancias/control/n_30-i_0.in
403,control,BT,38.2233,instancias/control/n_30-i_0.in
404,control,BT-F,40.874,instancias/control/n_30-i_0.in
405,control,BT-O-G,52579.4,instancias/control/n_30-i_0.in
406,control,BT-O-C,6825.31,instancias/control/n_30-i_0.in
